especie,latitude,longitude,ano,month,institutionCode,basisOfRecord
Megaptera novaeangliae,-17.86362,-39.02007,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.94,-38.88,2024,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.95668,-38.7858,2015,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.96086,-38.95493,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2021,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.77721,-37.9565,2014,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.59873,-37.9411,2010,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.850666,-38.899692,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.94,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.91985,-39.04692,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.96496,-39.02547,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.892194,-45.466306,2021,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2015,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.98366,-38.66544,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.663288,-37.974642,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.98,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.13008,-38.73056,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.597678,-40.152283,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.003372,-41.966692,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.446389,-41.92,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.636319,-40.001221,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.94463,-38.76804,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.005712,-42.010249,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.87,2024,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.71376,-38.01078,2016,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.94512,-38.83535,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.919755,-38.903933,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.874833,-45.449167,2020,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.867321,-38.94278,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.59265,-37.92152,2013,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.986,-42.026,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.434091,-39.968262,2020,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.436389,-41.610833,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.325794,-40.050659,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.9048,-38.99623,2022,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.685833,-41.785278,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-17.91518,-38.98423,2022,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.690206,-40.201721,2021,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.98,2024,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.90727,-38.96919,2019,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.91311,-39.03235,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.89122,-38.00245,2019,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-24.309444,-42.534444,2009,NA,PGS,HumanObservation
